"symbol";"TIMESTAMP";"OPEN";"CLOSE";"HIGH";"LOW"
"BRITANNIA";"2021-03-09 00:00:00";3473.5;3426.75;3489.15;3397.35
"CIPLA";"2021-03-09 00:00:00";812.6;797.0;816.7;792.1
"COALINDIA";"2021-03-09 00:00:00";154.95;151.7;154.95;148.5
"DIVISLAB";"2021-03-09 00:00:00";3567.8;3503.2;3567.8;3461.5
"DRREDDY";"2021-03-09 00:00:00";4500.95;4448.3;4520.0;4416.5
"EICHERMOT";"2021-03-09 00:00:00";2600.0;2592.7;2618.3;2573.0
"GAIL";"2021-03-09 00:00:00";154.9;149.05;154.9;148.35
"GRASIM";"2021-03-09 00:00:00";1382.0;1366.35;1408.0;1361.05
"HCLTECH";"2021-03-09 00:00:00";964.1;973.15;976.9;949.1
"HDFC";"2021-03-09 00:00:00";2513.1;2577.3;2584.4;2513.1
"HDFCBANK";"2021-03-09 00:00:00";1545.0;1562.5;1565.7;1538.25
"HDFCLIFE";"2021-03-09 00:00:00";732.0;740.2;746.0;732.0
"HEROMOTOCO";"2021-03-09 00:00:00";3465.05;3448.85;3490.0;3416.5
"HINDALCO";"2021-03-09 00:00:00";339.95;333.25;344.4;328.45
"HINDUNILVR";"2021-03-09 00:00:00";2176.0;2198.5;2205.0;2162.05
"ICICIBANK";"2021-03-09 00:00:00";614.85;625.1;628.35;612.3
"INDUSINDBK";"2021-03-09 00:00:00";1025.6;1024.8;1035.6;1005.0
"INFY";"2021-03-09 00:00:00";1329.5;1345.55;1350.45;1318.75
"IOC";"2021-03-09 00:00:00";102.45;100.55;102.9;99.2
"ITC";"2021-03-09 00:00:00";208.7;207.8;209.75;204.75
"JSWSTEEL";"2021-03-09 00:00:00";412.0;401.6;414.75;396.8
"KOTAKBANK";"2021-03-09 00:00:00";1917.8;1978.95;1991.0;1917.8
"LT";"2021-03-09 00:00:00";1525.0;1508.3;1532.3;1491.8
"M&M";"2021-03-09 00:00:00";853.0;852.0;865.7;842.0
"MARUTI";"2021-03-09 00:00:00";7329.4;7301.55;7329.4;7256.0
"NESTLEIND";"2021-03-09 00:00:00";16910.2;16910.8;16949.95;16660.0
"NTPC";"2021-03-09 00:00:00";111.4;109.5;111.85;107.45
"ONGC";"2021-03-09 00:00:00";119.4;116.75;119.55;114.2
"POWERGRID";"2021-03-09 00:00:00";220.5;216.0;222.1;213.25
"RELIANCE";"2021-03-09 00:00:00";2200.0;2191.05;2213.8;2146.6
"SBILIFE";"2021-03-09 00:00:00";950.0;971.3;983.75;939.0
"SBIN";"2021-03-09 00:00:00";393.45;387.6;394.9;382.25
"SHREECEM";"2021-03-09 00:00:00";27445.0;27313.15;27980.0;27151.85
"SUNPHARMA";"2021-03-09 00:00:00";618.0;612.6;620.9;607.5
"TATAMOTORS";"2021-03-09 00:00:00";325.0;315.2;328.35;309.6
"TATASTEEL";"2021-03-09 00:00:00";745.0;706.75;750.95;702.25
"TCS";"2021-03-09 00:00:00";3006.95;3050.95;3066.9;2992.1
"TECHM";"2021-03-09 00:00:00";973.0;988.15;998.5;961.55
"TITAN";"2021-03-09 00:00:00";1470.0;1456.9;1478.9;1445.0
"ULTRACEMCO";"2021-03-09 00:00:00";6745.0;6697.4;6824.0;6660.0
"UPL";"2021-03-09 00:00:00";634.0;624.9;637.7;611.25
"WIPRO";"2021-03-09 00:00:00";419.8;419.2;422.8;410.05
