"symbol";"closingdate";"cpt_relationship";"bc";"pivot";"tc";"cpr_width";"l5";"l4";"l3";"l2";"l1";"h1";"h2";"h3";"h4";"h5"
"ADANIPORTS";"2021-03-24 00:00:00";"LV";712.5916666666667;718.3333333333334;724.075;1.6114885804165566;653.3030602737763;677.7825;692.31625;697.1608333333334;702.0054166666666;711.6945833333334;716.5391666666667;721.3837500000001;735.9175;760.3969397262238
"ASIANPAINT";"2021-03-24 00:00:00";"HV";2440.0;2441.1833333333334;2442.366666666667;0.09690054728337764;2382.714730290457;2410.55;2427.05;2432.55;2438.05;2449.05;2454.55;2460.05;2476.55;2504.3852697095435
"AXISBANK";"2021-03-24 00:00:00";"LV";708.9833333333332;711.5666666666666;714.15;0.7287430358024509;684.6043509171051;694.4649999999999;700.4325;702.4216666666666;704.4108333333334;708.3891666666666;710.3783333333333;712.3675;718.335;728.1956490828949
"BAJAJ-AUTO";"2021-03-24 00:00:00";"LV";3617.191666666667;3630.8333333333335;3644.475;0.7542683896116328;3496.124380734903;3544.6725;3574.11125;3583.9241666666667;3593.7370833333334;3613.362916666667;3623.1758333333337;3632.9887500000004;3662.4275000000002;3710.9756192650975
"BAJAJFINSV";"2021-03-24 00:00:00";"LV";9227.683333333334;9253.316666666668;9278.95;0.5555746205710688;9002.154717705695;9092.38;9147.215;9165.493333333332;9183.771666666666;9220.328333333333;9238.606666666667;9256.884999999998;9311.72;9401.945282294304
"BAJFINANCE";"2021-03-24 00:00:00";"LV";5285.866666666667;5301.433333333333;5317.0;0.5889920290586194;5156.076768060836;5207.6;5238.95;5249.400000000001;5259.85;5280.75;5291.2;5301.650000000001;5333.0;5384.523231939164
"BHARTIARTL";"2021-03-24 00:00:00";"OLV";524.9249999999998;526.1999999999999;527.475;0.4857836833833753;511.6507334611697;517.0775;520.36375;521.4591666666666;522.5545833333333;524.7454166666666;525.8408333333333;526.93625;530.2225;535.6492665388303
"BPCL";"2021-03-24 00:00:00";"LV";430.825;431.7;432.575;0.40619741194220393;422.07619269800534;425.6325;427.79125;428.5108333333333;429.23041666666666;430.6695833333333;431.38916666666665;432.10875;434.2675;437.82380730199463
"BRITANNIA";"2021-03-24 00:00:00";"LV";3540.2000000000003;3542.65;3545.1;0.13841025930737347;3491.3433986371383;3512.34;3525.045;3529.28;3533.515;3541.985;3546.22;3550.455;3563.16;3584.1566013628617
"CIPLA";"2021-03-24 00:00:00";"HV";785.675;788.1;790.5250000000001;0.6135163340817983;766.2155827347441;778.6225000000001;785.78625;788.1741666666667;790.5620833333334;795.3379166666667;797.7258333333334;800.1137500000001;807.2775;819.684417265256
"COALINDIA";"2021-03-24 00:00:00";"LV";132.73333333333335;133.16666666666669;133.60000000000002;0.6529382219990011;129.1941310109807;130.59500000000003;131.44750000000002;131.73166666666668;132.01583333333335;132.58416666666668;132.86833333333334;133.1525;134.005;135.40586898901932
"DIVISLAB";"2021-03-24 00:00:00";"HV";3487.775;3494.4;3501.025;0.37989835926916155;3392.5868775400995;3432.7775;3456.9637500000003;3465.0258333333336;3473.087916666667;3489.2120833333333;3497.2741666666666;3505.33625;3529.5225;3569.7131224599007
"DRREDDY";"2021-03-24 00:00:00";"Outside";4358.724999999999;4366.95;4375.175;0.37740394266673694;4262.462477056807;4302.2925000000005;4326.39625;4334.430833333334;4342.465416666667;4358.534583333333;4366.569166666666;4374.60375;4398.7074999999995;4438.537522943193
"EICHERMOT";"2021-03-24 00:00:00";"LV";2663.025;2665.4;2667.775;0.1783685845983421;2582.269085791446;2618.0525000000002;2639.35125;2646.4508333333333;2653.550416666667;2667.7495833333332;2674.849166666667;2681.94875;2703.2475;2739.0309142085543
"GAIL";"2021-03-24 00:00:00";"LV";131.33333333333331;131.66666666666666;132.0;0.507614213197984;127.07151095732414;128.85500000000002;129.9275;130.285;130.6425;131.3575;131.715;132.0725;133.14499999999998;134.92848904267586
"GRASIM";"2021-03-24 00:00:00";"LV";1389.8750000000002;1392.1000000000001;1394.325;0.3201726773990335;1358.1298119088176;1371.5075000000002;1379.5787500000001;1382.2691666666667;1384.9595833333335;1390.3404166666667;1393.0308333333335;1395.72125;1403.7925;1417.1701880911826
"HCLTECH";"2021-03-24 00:00:00";"LV";975.275;975.4;975.525;0.025627226365290485;956.5067327604057;965.2275;970.4387499999999;972.1758333333333;973.9129166666667;977.3870833333333;979.1241666666666;980.86125;986.0725;994.7932672395942
"HDFC";"2021-03-24 00:00:00";"LV";2468.8666666666663;2471.983333333333;2475.1;0.25247752004969526;2408.507755343933;2434.5099999999998;2450.13;2455.3366666666666;2460.5433333333335;2470.9566666666665;2476.1633333333334;2481.37;2496.9900000000002;2522.992244656067
"HDFCBANK";"2021-03-24 00:00:00";"OLV";1482.1083333333336;1485.4166666666667;1488.725;0.44643610172443526;1443.1620258327666;1459.3025;1469.05125;1472.3008333333332;1475.5504166666667;1482.0495833333332;1485.2991666666667;1488.54875;1498.2975;1514.4379741672333
"HDFCLIFE";"2021-03-24 00:00:00";"LV";677.9833333333333;679.4666666666667;680.95;0.43757221170629024;664.6746537293533;670.01;673.255;674.3366666666667;675.4183333333333;677.5816666666667;678.6633333333333;679.745;682.99;688.3253462706467
"HEROMOTOCO";"2021-03-24 00:00:00";"LV";3040.725;3047.6;3054.475;0.4521947890716852;2970.6740630168706;2999.2275;3016.53875;3022.3091666666664;3028.079583333333;3039.6204166666666;3045.3908333333334;3051.1612499999997;3068.4725;3097.025936983129
"HINDALCO";"2021-03-24 00:00:00";"LV";319.34999999999997;320.95;322.55;1.0020353843745249;306.215514520202;311.425;314.5875;315.64166666666665;316.6958333333333;318.8041666666667;319.85833333333335;320.9125;324.075;329.284485479798
"HINDUNILVR";"2021-03-24 00:00:00";"LV";2323.4750000000004;2328.3500000000004;2333.2250000000004;0.4196300799449101;2283.203437628209;2299.1575;2308.87875;2312.1191666666664;2315.3595833333334;2321.8404166666664;2325.0808333333334;2328.32125;2338.0425;2353.996562371791
"ICICIBANK";"2021-03-24 00:00:00";"LV";569.2583333333333;571.0166666666667;572.775;0.6177628785993445;551.8811946902655;558.9475;563.22375;564.6491666666667;566.0745833333333;568.9254166666667;570.3508333333333;571.77625;576.0525;583.1188053097345
"INDUSINDBK";"2021-03-24 00:00:00";"LV";962.4666666666665;966.2333333333332;970.0;0.7827110895615639;928.5837696335079;942.2;950.45;953.2;955.95;961.45;964.2;966.95;975.2;988.8162303664922
"INFY";"2021-03-24 00:00:00";"LV";1355.2833333333333;1356.8166666666666;1358.35;0.2262749486577178;1329.4151810584956;1340.44;1347.095;1349.3133333333333;1351.5316666666668;1355.9683333333332;1358.1866666666667;1360.405;1367.06;1378.0848189415044
"IOC";"2021-03-24 00:00:00";"LV";94.86666666666667;95.18333333333334;95.5;0.6676036542515731;92.0420424403183;93.175;93.8625;94.09166666666667;94.32083333333333;94.77916666666667;95.00833333333333;95.2375;95.925;97.0579575596817
"ITC";"2021-03-24 00:00:00";"LV";216.975;218.0;219.025;0.9448093098283264;208.37544715447154;211.79749999999999;213.87374999999997;214.56583333333333;215.25791666666666;216.64208333333332;217.33416666666665;218.02625;220.1025;223.52455284552843
"JSWSTEEL";"2021-03-24 00:00:00";"LV";437.35833333333323;437.3666666666666;437.375;0.0038107577692049308;425.6461248841521;430.99750000000006;434.17375000000004;435.2325;436.29125000000005;438.40875;439.46750000000003;440.52625;443.7025;449.053875115848
"KOTAKBANK";"2021-03-24 00:00:00";"LV";1784.6916666666668;1786.9333333333334;1789.175;0.2512105265615323;1750.6375870527531;1765.0425;1773.74625;1776.6475;1779.54875;1785.3512500000002;1788.2525;1791.1537500000002;1799.8575;1814.262412947247
"LT";"2021-03-24 00:00:00";"LV";1373.941666666667;1378.7333333333336;1383.525;0.6975065656596067;1321.8858608139406;1343.3275;1356.23875;1360.5425;1364.84625;1373.4537500000001;1377.7575000000002;1382.0612500000002;1394.9725;1416.4141391860596
"M&M";"2021-03-24 00:00:00";"LV";816.5333333333333;821.6666666666666;826.8;1.2573481384715854;774.8739549839228;791.38;801.39;804.7266666666667;808.0633333333333;814.7366666666667;818.0733333333333;821.41;831.42;847.9260450160772
"MARUTI";"2021-03-24 00:00:00";"LV";7078.858333333334;7091.516666666666;7104.174999999999;0.3576377075870148;6957.500024822871;7006.5525;7036.37625;7046.3175;7056.25875;7076.14125;7086.0824999999995;7096.023749999999;7125.8475;7174.899975177129
"NESTLEIND";"2021-03-24 00:00:00";"LV";16496.908333333333;16545.716666666667;16594.525;0.5917270357223617;16096.93405423512;16255.297499999999;16351.69875;16383.832499999999;16415.966249999998;16480.23375;16512.367499999997;16544.501249999998;16640.902499999997;16799.265945764877
"NTPC";"2021-03-24 00:00:00";"LV";106.5;107.0;107.5;0.9389671361502347;102.18560606060605;103.91;104.955;105.30333333333333;105.65166666666667;106.34833333333333;106.69666666666667;107.045;108.09;109.81439393939395
"ONGC";"2021-03-24 00:00:00";"LV";104.425;104.55;104.675;0.2388344877000239;101.59027710257656;103.0675;103.93374999999999;104.2225;104.51124999999999;105.08875;105.3775;105.66625;106.5325;108.00972289742343
"POWERGRID";"2021-03-24 00:00:00";"Inside";220.4;220.61666666666667;220.83333333333334;0.19622641509434133;213.9160673121254;217.20000000000002;219.125;219.76666666666668;220.40833333333333;221.6916666666667;222.33333333333334;222.97500000000002;224.9;228.18393268787463
"RELIANCE";"2021-03-24 00:00:00";"LV";2051.5583333333334;2055.8166666666666;2060.075;0.41513158696436886;2007.8169305038227;2025.6575;2036.47875;2040.0858333333333;2043.6929166666666;2050.9070833333335;2054.514166666667;2058.12125;2068.9425;2086.783069496177
"SBILIFE";"2021-03-24 00:00:00";"LV";882.1416666666668;883.5833333333334;885.025;0.3268560416410681;860.6211873607222;869.7275;875.21375;877.0425;878.87125;882.5287500000001;884.3575000000001;886.1862500000001;891.6725000000001;900.7788126392779
"SBIN";"2021-03-24 00:00:00";"LV";361.1833333333334;362.5166666666667;363.85;0.7383138756863906;349.4152028439984;354.13;356.99;357.9433333333333;358.8966666666667;360.80333333333334;361.7566666666667;362.71000000000004;365.57000000000005;370.2847971560017
"SHREECEM";"2021-03-24 00:00:00";"Inside";27887.29166666667;27971.283333333336;28055.275;0.6023651752963817;27130.531935360515;27434.3875;27618.84375;27680.329166666666;27741.814583333333;27864.785416666666;27926.270833333332;27987.75625;28172.212499999998;28476.068064639483
"SUNPHARMA";"2021-03-24 00:00:00";"Outside";586.9;588.5;590.1;0.5452376895552983;571.4503086419752;577.7099999999999;581.505;582.77;584.035;586.5649999999999;587.8299999999999;589.0949999999999;592.89;599.1496913580247
"TATAMOTORS";"2021-03-24 00:00:00";"LV";296.0;297.55;299.1;1.047297297297305;282.5996930422919;287.96;291.205;292.28666666666663;293.36833333333334;295.53166666666664;296.61333333333334;297.695;300.94;306.3003069577081
"TATASTEEL";"2021-03-24 00:00:00";"LV";707.1916666666667;711.5833333333334;715.975;1.242001814689554;668.5624436654982;684.0725;693.43625;696.5575;699.6787499999999;705.92125;709.0424999999999;712.1637499999999;721.5274999999999;737.0375563345017
"TCS";"2021-03-24 00:00:00";"LV";3124.6416666666673;3128.183333333334;3131.7250000000004;0.22669266075842387;3079.8183951272035;3098.4674999999997;3109.78375;3113.5558333333333;3117.3279166666666;3124.872083333333;3128.6441666666665;3132.4162499999998;3143.7325;3162.3816048727963
"TECHM";"2021-03-24 00:00:00";"LV";994.8666666666668;997.5833333333334;1000.3;0.5461368357568686;965.9204583438845;977.795;984.9725;987.365;989.7574999999999;994.5425;996.935;999.3275;1006.505;1018.3795416561154
"TITAN";"2021-03-24 00:00:00";"OHV";1489.6416666666664;1491.1333333333332;1492.625;0.20027187746495473;1455.5436452301128;1470.3575;1479.25375;1482.2191666666668;1485.1845833333334;1491.1154166666668;1494.0808333333334;1497.04625;1505.9425;1520.7563547698874
"ULTRACEMCO";"2021-03-24 00:00:00";"Inside";6869.766666666668;6880.883333333334;6892.0;0.3236402983119041;6754.3664327485385;6801.45;6830.049999999999;6839.583333333333;6849.116666666666;6868.183333333333;6877.716666666666;6887.25;6915.849999999999;6962.933567251461
"UPL";"2021-03-24 00:00:00";"LV";613.1333333333332;617.4166666666666;621.7;1.3971947374144018;579.36039538715;592.6800000000001;600.765;603.46;606.155;611.5450000000001;614.24;616.9350000000001;625.02;638.33960461285
"WIPRO";"2021-03-24 00:00:00";"LV";411.4416666666668;411.8833333333334;412.325;0.21469224069832785;404.72250733137827;407.5625;409.28125;409.8541666666667;410.4270833333333;411.5729166666667;412.1458333333333;412.71875;414.4375;417.27749266862173
