"symbol";"date";"open";"close";"high";"low"
"AARTIDRUGS";"2020-07-10 00:00:00";1382.6;1359.95;1387.25;1344.0
"AARTIIND";"2020-07-10 00:00:00";950.75;937.7;952.3;925.0
"AAVAS";"2020-07-10 00:00:00";1337.2;1314.05;1337.2;1290.0
"ABB";"2020-07-10 00:00:00";930.0;916.95;936.75;914.9
"ABFRL";"2020-07-10 00:00:00";124.5;121.15;124.8;120.6
"ACC";"2020-07-10 00:00:00";1321.5;1310.25;1328.0;1306.1
"ACCELYA";"2020-07-10 00:00:00";942.0;948.2;951.0;932.15
"ADANIENT";"2020-07-10 00:00:00";161.5;159.7;163.4;158.5
"ADANIGAS";"2020-07-10 00:00:00";154.85;151.9;155.5;150.05
"ADANIGREEN";"2020-07-10 00:00:00";365.0;371.05;384.45;356.65
"ADANIPORTS";"2020-07-10 00:00:00";341.0;334.95;342.7;332.25
"ADANITRANS";"2020-07-10 00:00:00";238.05;241.1;244.95;235.8
"ADORWELD";"2020-07-10 00:00:00";266.5;260.3;266.9;257.95
"ADVENZYMES";"2020-07-10 00:00:00";166.9;163.95;170.65;163.05
"AEGISCHEM";"2020-07-10 00:00:00";179.5;179.75;184.0;177.3
"AFFLE";"2020-07-10 00:00:00";1945.3;1781.85;1945.3;1760.1
"AIAENG";"2020-07-10 00:00:00";1620.5;1634.85;1643.95;1608.0
"AJANTPHARM";"2020-07-10 00:00:00";1443.0;1420.35;1458.4;1415.0
"AKSHARCHEM";"2020-07-10 00:00:00";220.25;217.0;225.1;215.1
"AKZOINDIA";"2020-07-10 00:00:00";1864.9;1829.55;1865.25;1812.5
"ALBERTDAVD";"2020-07-10 00:00:00";413.95;406.35;418.4;403.5
"ALKEM";"2020-07-10 00:00:00";2407.75;2422.35;2446.2;2405.0
"ALKYLAMINE";"2020-07-10 00:00:00";2401.25;2418.6;2470.0;2401.25
"ALPHAGEO";"2020-07-10 00:00:00";184.9;181.5;184.9;180.2
"AMARAJABAT";"2020-07-10 00:00:00";693.0;696.55;699.7;690.25
"AMBER";"2020-07-10 00:00:00";1559.0;1543.1;1570.95;1526.05
"AMBUJACEM";"2020-07-10 00:00:00";202.2;197.2;204.35;196.5
"AMRUTANJAN";"2020-07-10 00:00:00";359.55;369.05;372.0;359.55
"ANDHRAPAP";"2020-07-10 00:00:00";233.0;231.7;239.7;230.0
"ANDHRSUGAR";"2020-07-10 00:00:00";260.0;256.2;264.15;255.65
"APARINDS";"2020-07-10 00:00:00";337.95;335.45;339.0;333.1
"APCOTEXIND";"2020-07-10 00:00:00";132.0;130.8;135.45;129.65
"APEX";"2020-07-10 00:00:00";231.1;231.3;235.8;228.35
"APLAPOLLO";"2020-07-10 00:00:00";1718.0;1733.85;1747.0;1691.1
"APLLTD";"2020-07-10 00:00:00";933.95;941.4;954.0;920.65
"APOLLO";"2020-07-10 00:00:00";105.2;106.05;108.9;105.2
"APOLLOHOSP";"2020-07-10 00:00:00";1400.0;1402.45;1439.2;1396.75
"APOLLOPIPE";"2020-07-10 00:00:00";325.0;321.25;325.0;316.6
"APOLLOTYRE";"2020-07-10 00:00:00";115.5;113.2;117.2;112.75
"ARMANFIN";"2020-07-10 00:00:00";564.0;530.8;564.0;525.0
"ASALCBR";"2020-07-10 00:00:00";254.95;252.05;254.95;248.25
"ASIANPAINT";"2020-07-10 00:00:00";1707.95;1703.5;1711.0;1695.2
"ASTEC";"2020-07-10 00:00:00";958.0;970.8;998.0;952.05
"ASTERDM";"2020-07-10 00:00:00";122.9;123.15;123.75;121.55
"ASTRAL";"2020-07-10 00:00:00";956.0;921.35;966.55;913.0
"ASTRAMICRO";"2020-07-10 00:00:00";115.3;122.4;127.9;114.25
"ASTRAZEN";"2020-07-10 00:00:00";3456.0;3425.8;3493.7;3415.0
"ATFL";"2020-07-10 00:00:00";536.0;527.25;540.0;520.45
"ATUL";"2020-07-10 00:00:00";4755.0;4631.75;4755.0;4615.55
"ATULAUTO";"2020-07-10 00:00:00";167.8;167.6;169.45;164.5
"AUBANK";"2020-07-10 00:00:00";624.9;622.3;638.0;610.0
"AUROPHARMA";"2020-07-10 00:00:00";812.0;820.75;828.7;809.0
"AVADHSUGAR";"2020-07-10 00:00:00";186.35;183.3;188.45;182.85
"AVANTIFEED";"2020-07-10 00:00:00";480.0;481.25;488.65;477.0
"AXISBANK";"2020-07-10 00:00:00";449.9;439.6;451.45;437.0
"BAJAJ-AUTO";"2020-07-10 00:00:00";2875.0;2894.7;2915.0;2856.4
"BAJAJCON";"2020-07-10 00:00:00";145.0;143.9;146.1;143.05
"BAJAJELEC";"2020-07-10 00:00:00";406.75;395.3;412.45;394.05
"BAJAJFINSV";"2020-07-10 00:00:00";6515.0;6483.8;6645.0;6441.0
"BAJAJHLDNG";"2020-07-10 00:00:00";2768.0;2732.75;2825.0;2707.35
"BAJFINANCE";"2020-07-10 00:00:00";3275.0;3314.15;3395.0;3272.05
"BALAMINES";"2020-07-10 00:00:00";590.0;589.4;607.65;582.0
"BALKRISIND";"2020-07-10 00:00:00";1268.95;1264.0;1273.0;1242.0
"BALMLAWRIE";"2020-07-10 00:00:00";111.4;111.0;112.65;110.6
"BALRAMCHIN";"2020-07-10 00:00:00";128.4;128.7;130.15;126.25
"BANDHANBNK";"2020-07-10 00:00:00";376.0;373.95;380.9;367.05
"BANKBEES";"2020-07-10 00:00:00";229.0;226.04;231.2;225.14
"Banknifty";"2020-07-10 00:00:00";22720.9;22398.4;22835.2;22320.1
"BASF";"2020-07-10 00:00:00";1215.0;1192.85;1217.75;1181.0
"BATAINDIA";"2020-07-10 00:00:00";1285.0;1270.95;1302.0;1265.6
"BAYERCROP";"2020-07-10 00:00:00";5794.0;5788.35;5875.0;5740.0
"BBL";"2020-07-10 00:00:00";801.65;787.5;801.65;780.95
"BBTC";"2020-07-10 00:00:00";1128.75;1226.0;1238.0;1122.0
"BDL";"2020-07-10 00:00:00";383.0;405.85;414.85;378.1
"BEML";"2020-07-10 00:00:00";639.0;637.1;644.35;630.65
"BERGEPAINT";"2020-07-10 00:00:00";504.0;498.55;506.4;495.0
"BFINVEST";"2020-07-10 00:00:00";299.4;296.4;307.0;292.25
"BFUTILITIE";"2020-07-10 00:00:00";199.7;197.15;202.3;196.1
"BHAGERIA";"2020-07-10 00:00:00";117.85;114.9;118.7;114.15
"BHARATFORG";"2020-07-10 00:00:00";368.95;354.5;374.45;353.15
"BHARTIARTL";"2020-07-10 00:00:00";569.1;574.7;579.0;565.65
"BIOCON";"2020-07-10 00:00:00";400.5;414.3;420.5;400.5
"BIRLACORPN";"2020-07-10 00:00:00";598.0;592.2;603.0;585.5
"BLUEDART";"2020-07-10 00:00:00";2025.0;2016.3;2032.7;2010.0
"BLUESTARCO";"2020-07-10 00:00:00";490.0;490.5;496.6;486.75
"BORORENEW";"2020-07-10 00:00:00";88.35;88.35;92.0;88.35
"BPCL";"2020-07-10 00:00:00";377.85;376.35;380.5;370.35
"BRIGADE";"2020-07-10 00:00:00";141.0;141.45;145.65;139.1
"BRITANNIA";"2020-07-10 00:00:00";3669.6;3726.65;3753.6;3655.35
"BSE";"2020-07-10 00:00:00";520.0;502.9;520.0;501.0
"BUTTERFLY";"2020-07-10 00:00:00";127.1;125.15;129.35;124.25
"CADILAHC";"2020-07-10 00:00:00";357.35;356.4;360.55;354.5
"CANBK";"2020-07-10 00:00:00";107.5;104.6;108.4;103.5
"CANFINHOME";"2020-07-10 00:00:00";365.0;360.65;368.05;357.65
"CANTABIL";"2020-07-10 00:00:00";294.6;294.2;297.0;291.0
"CAPLIPOINT";"2020-07-10 00:00:00";348.0;344.25;353.35;334.15
"CARBORUNIV";"2020-07-10 00:00:00";260.0;256.25;268.0;253.7
"CARERATING";"2020-07-10 00:00:00";423.0;416.75;423.55;415.0
"CASTROLIND";"2020-07-10 00:00:00";125.05;122.65;126.8;122.0
"CCL";"2020-07-10 00:00:00";249.95;242.8;251.35;241.5
"CDSL";"2020-07-10 00:00:00";296.8;291.1;299.45;288.55
"CEATLTD";"2020-07-10 00:00:00";905.0;894.45;911.0;888.0
"CENTENKA";"2020-07-10 00:00:00";184.05;182.85;188.0;182.0
"CENTUM";"2020-07-10 00:00:00";317.05;307.45;331.8;305.5
"CENTURYPLY";"2020-07-10 00:00:00";135.9;132.6;135.95;129.1
"CENTURYTEX";"2020-07-10 00:00:00";320.95;315.5;327.8;312.75
"CESC";"2020-07-10 00:00:00";654.4;633.8;655.5;623.5
"CGCL";"2020-07-10 00:00:00";171.5;170.8;174.65;168.05
"CHALET";"2020-07-10 00:00:00";138.95;136.55;138.95;133.05
"CHAMBLFERT";"2020-07-10 00:00:00";152.2;154.65;156.9;151.5
"CHOLAFIN";"2020-07-10 00:00:00";208.0;208.45;214.35;206.0
"CHOLAHLDNG";"2020-07-10 00:00:00";334.95;329.05;334.95;316.7
"CIPLA";"2020-07-10 00:00:00";640.0;638.9;647.0;636.7
"CLNINDIA";"2020-07-10 00:00:00";476.9;484.65;493.35;472.0
